,j,Polarity,Coverage,Overlaps,Conflicts
github_ref_in_message,0,[1],4e-05,4e-05,4e-05
version_in_message,1,[0],0.04836,0.0333,0.00262
bug_message_keyword_bad,2,[1],0.00094,0.00078,0.00036
bug_message_keywords_bugg,3,[1],0.01616,0.0149,0.00528
bug_message_keyword_broken,4,[1],0.00134,0.00112,0.00026
bug_message_keyword_concurr,5,[1],0.00016,0.0001,8e-05
bug_message_keywords_correct,6,[1],0.00616,0.00358,0.00264
bug_message_keyword_corrupt,7,[1],0.00024,0.00024,0.00012
bug_message_keyword_crash,8,[1],0.0024,0.00236,0.00104
bug_message_keywords_deadlock,9,[1],0.00028,0.00028,0.00024
bug_message_keyword_defect,10,[],0.0,0.0,0.0
bug_message_keyword_endless,11,[1],0.00014,0.00014,0.0001
bug_message_keyword_ensur,12,[1],0.0006,0.00044,0.00036
bug_message_keyword_error,13,[1],0.01058,0.00926,0.00472
bug_message_keywords_fail,14,[1],0.00394,0.00322,0.00216
bug_message_keywords_hotfix,15,[1],0.14608,0.06898,0.04126
bug_message_keyword_garbag,16,[1],0.00026,0.00012,8e-05
bug_message_keyword_incomplet,17,[1],0.0001,8e-05,8e-05
bug_message_keyword_inconsist,18,[1],0.00022,0.00018,4e-05
bug_message_keyword_incorrect,19,[1],0.00074,0.00056,0.00018
bug_message_keyword_infinit,20,[1],0.00068,0.00066,0.0005
bug_message_keyword_invalid,21,[1],0.00056,0.00042,0.00024
bug_message_keyword_issue,22,[],0.0,0.0,0.0
bug_message_keyword_leak,23,[1],0.00064,0.0006,0.00034
bug_message_keyword_loop,24,[1],0.001,0.00088,0.00078
bug_message_keyword_mistak,25,[1],0.0008,0.00064,0.0003
bug_message_keywords_npe,26,[1],0.00286,0.00276,0.00098
bug_message_bigram_not work,27,[1],0.00132,0.00126,0.0006
bug_message_bigram_not return,28,[1],0.00022,0.0002,8e-05
bug_message_keywords_outofbound,29,[1],0.00012,0.00012,8e-05
bug_message_keyword_prevent,30,[1],0.0022,0.00178,0.00132
bug_message_keyword_problem,31,[1],0.0025,0.00212,0.00088
bug_message_keyword_properli,32,[1],0.00186,0.00154,0.00074
bug_message_bigram_race condit,33,[1],0.00094,0.0009,0.00054
bug_message_keyword_repair,34,[1],8e-05,2e-05,2e-05
bug_message_keyword_solv,35,[1],0.00042,0.00032,0.00018
bug_message_keywords_throw,36,[1],0.00098,0.00084,0.00044
bug_message_keyword_timeout,37,[1],0.00094,0.0008,0.00056
bug_message_keyword_unabl,38,[1],0.00036,0.00036,8e-05
bug_message_keyword_unclos,39,[],0.0,0.0,0.0
bug_message_keyword_unexpect,40,[1],4e-05,4e-05,0.0
bug_message_keyword_unknown,41,[1],0.00018,0.00016,0.00014
bug_message_keyword_unsynchron,42,[],0.0,0.0,0.0
bug_message_keyword_wrong,43,[1],0.00248,0.00224,0.00056
bug_message_keyword_except,44,[1],0.00498,0.00464,0.00294
bug_issue_label_keyword_bad,45,[],0.0,0.0,0.0
bug_issue_label_keyword_broken,46,[],0.0,0.0,0.0
bug_issue_label_keywords_bugg,47,[1],0.00494,0.00466,0.00252
bug_issue_label_keyword_close,48,[],0.0,0.0,0.0
bug_issue_label_keyword_concurr,49,[],0.0,0.0,0.0
bug_issue_label_keyword_correct,50,[],0.0,0.0,0.0
bug_issue_label_keyword_crash,51,[],0.0,0.0,0.0
bug_issue_label_keyword_defect,52,[],0.0,0.0,0.0
bug_issue_label_keyword_error,53,[],0.0,0.0,0.0
bug_issue_label_keywords_fail,54,[],0.0,0.0,0.0
bug_issue_label_keywords_hotfix,55,[1],6e-05,6e-05,4e-05
bug_issue_label_keyword_handl,56,[],0.0,0.0,0.0
bug_issue_label_keyword_invalid,57,[],0.0,0.0,0.0
bug_issue_label_keyword_issue,58,[],0.0,0.0,0.0
bug_issue_label_keyword_logic,59,[],0.0,0.0,0.0
bug_issue_label_keyword_merg,60,[],0.0,0.0,0.0
bug_issue_label_keyword_minor,61,[],0.0,0.0,0.0
bug_issue_label_keyword_unknown,62,[],0.0,0.0,0.0
bug_issue_body_keyword_bad,63,[1],0.0002,0.0002,0.0002
bug_issue_body_keyword_broken,64,[1],0.00052,0.00052,0.00052
bug_issue_body_keywords_bugg,65,[1],0.0035,0.00348,0.00338
bug_issue_body_keyword_close,66,[1],0.01144,0.01076,0.01056
bug_issue_body_keyword_concurr,67,[1],0.0001,0.0001,0.0001
bug_issue_body_keywords_correct,68,[1],0.00172,0.0017,0.00158
bug_issue_body_keyword_corrupt,69,[],0.0,0.0,0.0
bug_issue_body_keyword_crash,70,[1],0.00042,0.00042,0.0004
bug_issue_body_keywords_deadlock,71,[],0.0,0.0,0.0
bug_issue_body_keyword_defect,72,[],0.0,0.0,0.0
bug_issue_body_keyword_disabl,73,[1],0.00168,0.00168,0.0016
bug_issue_body_keyword_endless,74,[1],2e-05,2e-05,2e-05
bug_issue_body_keyword_ensur,75,[1],0.00056,0.00056,0.00056
