,j,Polarity,Coverage,Overlaps,Conflicts
github_ref_in_message,0,[1],9e-05,8e-05,6e-05
version_in_message,1,[0],0.01394,0.00812,0.00222
bug_message_keyword_bad,2,[1],0.00102,0.0008,0.00048
bug_message_keyword_broken,3,[1],0.0021,0.0019,0.00131
bug_message_keywords_bug,4,[1],0.01483,0.01375,0.00556
bug_message_keyword_close,5,[1],0.00528,0.0042,0.00345
bug_message_keyword_concurr,6,[1],0.00032,0.00028,0.00026
bug_message_keywords_correctli,7,[1],0.00908,0.0059,0.0044
bug_message_keyword_corrupt,8,[1],0.00017,0.00015,0.00011
bug_message_keyword_crash,9,[1],0.00168,0.00154,0.0008
bug_message_keywords_deadlock,10,[1],0.00011,0.0001,5e-05
bug_message_keyword_defect,11,[1],8e-05,7e-05,3e-05
bug_message_keyword_disabl,12,[1],0.00346,0.00221,0.00183
bug_message_keyword_endless,13,[1],6e-05,5e-05,2e-05
bug_message_keyword_ensur,14,[1],0.00184,0.00131,0.00104
bug_message_keyword_error,15,[1],0.01489,0.01289,0.0076
bug_message_keyword_except,16,[1],0.00292,0.00241,0.00179
bug_message_keywords_failur,17,[1],0.00546,0.00452,0.00353
bug_message_keywords_hotfix,18,[1],0.1218,0.06485,0.04329
bug_message_keyword_garbag,19,[1],9e-05,4e-05,4e-05
bug_message_keyword_handl,20,[1],0.00835,0.00666,0.00502
bug_message_keyword_incomplet,21,[1],0.00047,0.0003,0.00028
bug_message_keyword_inconsist,22,[1],0.00016,0.00015,0.00011
bug_message_keyword_incorrect,23,[1],0.00112,0.00102,0.0005
bug_message_keyword_infinit,24,[1],0.00031,0.00028,0.00014
bug_message_keyword_invalid,25,[1],0.00141,0.00118,0.00076
bug_message_keyword_issue,26,[],0.0,0.0,0.0
bug_message_keyword_leak,27,[1],0.00058,0.00055,0.00024
bug_message_keyword_loop,28,[1],0.00167,0.00133,0.00097
bug_message_keyword_minor,29,[1],0.00726,0.00554,0.00411
bug_message_keyword_mistak,30,[1],0.00062,0.00054,0.00025
bug_message_keywords_npe,31,[1],0.00026,0.00023,0.00013
bug_message_bigram_not work,32,[1],0.00108,0.00081,0.00055
bug_message_bigram_not return,33,[1],0.00012,0.00011,7e-05
bug_message_keywords_outofbound,34,[1],6e-05,5e-05,3e-05
bug_message_keyword_patch,35,[1],0.00262,0.0021,0.00184
bug_message_keyword_prevent,36,[1],0.00262,0.00201,0.00137
bug_message_keyword_problem,37,[1],0.00315,0.00287,0.00167
bug_message_keyword_properli,38,[1],0.00213,0.00157,0.00116
bug_message_bigram_race condit,39,[1],0.00025,0.00023,0.00018
bug_message_keyword_repair,40,[1],0.00025,0.00012,9e-05
bug_message_keywords_solv,41,[1],0.00268,0.002,0.00125
bug_message_keyword_solv,42,[1],0.00058,0.00058,0.00015
bug_message_keywords_threw,43,[1],0.00087,0.00079,0.00045
bug_message_keyword_timeout,44,[1],0.00148,0.00106,0.00092
bug_message_keyword_unabl,45,[1],0.0002,0.00018,0.00013
bug_message_keyword_unclos,46,[1],3e-05,3e-05,1e-05
bug_message_keyword_unexpect,47,[1],0.00017,0.00014,0.00011
bug_message_keyword_unknown,48,[1],0.00052,0.00041,0.00028
bug_message_keyword_unsynchron,49,[],0.0,0.0,0.0
bug_message_keyword_wrong,50,[1],0.00183,0.0015,0.00071
bug_issue_label_keyword_bug,51,[1],0.00201,0.00197,0.00132
bug_issue_label_keyword_fixed,52,[],0.0,0.0,0.0
bug_issue_label_keyword_fix,53,[1],8e-05,8e-05,1e-05
bug_issue_label_keyword_error,54,[1],1e-05,1e-05,1e-05
bug_issue_body_keyword_bad,55,[1],0.00023,0.00023,0.00022
bug_issue_body_keyword_broken,56,[1],0.00035,0.00034,0.00031
bug_issue_body_keywords_bug,57,[1],0.00279,0.00279,0.00263
bug_issue_body_keyword_close,58,[1],0.00381,0.00372,0.00352
bug_issue_body_keyword_concurr,59,[1],9e-05,9e-05,9e-05
bug_issue_body_keywords_correctli,60,[1],0.00138,0.00136,0.00126
bug_issue_body_keyword_corrupt,61,[1],4e-05,4e-05,4e-05
bug_issue_body_keyword_crash,62,[1],0.00026,0.00026,0.00021
bug_issue_body_keywords_deadlock,63,[1],3e-05,3e-05,2e-05
bug_issue_body_keyword_defect,64,[1],1e-05,1e-05,1e-05
bug_issue_body_keyword_disabl,65,[1],0.00142,0.00142,0.00138
bug_issue_body_keyword_endless,66,[],0.0,0.0,0.0
bug_issue_body_keyword_ensur,67,[1],0.00075,0.00075,0.00067
bug_issue_body_keyword_error,68,[1],0.00313,0.00312,0.00279
bug_issue_body_keyword_except,69,[1],0.00087,0.00086,0.0008
bug_issue_body_keywords_failur,70,[1],0.00229,0.00227,0.00214
bug_issue_body_keywords_hotfix,71,[1],0.01075,0.01035,0.00939
bug_issue_body_keyword_garbag,72,[1],2e-05,2e-05,2e-05
bug_issue_body_keyword_handl,73,[1],0.00111,0.00108,0.00105
bug_issue_body_keyword_incomplet,74,[1],6e-05,6e-05,5e-05
bug_issue_body_keyword_inconsist,75,[1],9e-05,9e-05,9e-05
bug_issue_body_keyword_incorrect,76,[1],0.00027,0.00027,0.00026
bug_issue_body_keyword_infinit,77,[1],8e-05,8e-05,7e-05
bug_issue_body_keyword_invalid,78,[1],0.00041,0.0004,0.00036
bug_issue_body_keyword_issue,79,[],0.0,0.0,0.0
bug_issue_body_keyword_leak,80,[1],9e-05,9e-05,8e-05
bug_issue_body_keyword_loop,81,[1],0.00023,0.00023,0.00023
bug_issue_body_keyword_minor,82,[1],0.00182,0.00182,0.0018
bug_issue_body_keyword_mistak,83,[1],5e-05,5e-05,5e-05
bug_issue_body_keywords_npe,84,[1],3e-05,3e-05,2e-05
bug_issue_body_bigram_not work,85,[1],0.00033,0.00033,0.00029
bug_issue_body_bigram_not return,86,[1],6e-05,6e-05,5e-05
bug_issue_body_keywords_outofbound,87,[1],2e-05,2e-05,1e-05
bug_issue_body_keyword_patch,88,[1],0.00139,0.00136,0.00133
bug_issue_body_keyword_prevent,89,[1],0.00067,0.00067,0.00062
bug_issue_body_keyword_problem,90,[1],0.00179,0.00178,0.00169
bug_issue_body_keyword_properli,91,[1],0.00051,0.00048,0.00047
bug_issue_body_bigram_race condit,92,[1],3e-05,3e-05,2e-05
bug_issue_body_keyword_repair,93,[1],3e-05,3e-05,3e-05
bug_issue_body_keywords_solv,94,[1],0.00351,0.00343,0.00332
bug_issue_body_keyword_solv,95,[1],0.0004,0.0004,0.00034
bug_issue_body_keywords_threw,96,[1],0.00054,0.00054,0.00047
bug_issue_body_keyword_timeout,97,[1],0.00023,0.00023,0.0002
bug_issue_body_keyword_unabl,98,[1],0.0002,0.0002,0.00019
bug_issue_body_keyword_unclos,99,[],0.0,0.0,0.0
bug_issue_body_keyword_unexpect,100,[1],0.00012,0.00012,0.0001
bug_issue_body_keyword_unknown,101,[1],0.00022,0.00022,0.00018
bug_issue_body_keyword_unsynchron,102,[],0.0,0.0,0.0
bug_issue_body_keyword_wrong,103,[1],0.00064,0.00064,0.00056
bugless_message_keyword_abil,104,[0],0.00145,0.00135,0.00036
bugless_message_keyword_ad,105,[0],0.07397,0.03279,0.00912
bugless_message_keyword_add,106,[0],0.0979,0.0428,0.01178
bugless_message_keyword_addit,107,[0],0.00338,0.00263,0.00096
bugless_message_keyword_allow,108,[0],0.00782,0.005,0.0022
bugless_message_keyword_analysi,109,[0],0.00047,0.00029,0.00014
bugless_message_keyword_avoid,110,[0],0.00316,0.0023,0.00133
bugless_message_keyword_baselin,111,[0],7e-05,4e-05,2e-05
bugless_message_keyword_beautification,112,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,113,[0],0.00166,0.0009,0.00018
bugless_message_keyword_better,114,[0],0.00579,0.00379,0.0017
bugless_message_keyword_bump,115,[0],0.01458,0.01144,0.00197
bugless_message_bigram_chang log,116,[0],0.00033,0.00033,3e-05
bugless_message_keywords_clean,117,[0],0.01199,0.00573,0.00233
