,j,Polarity,Coverage,Overlaps,Conflicts
bug_issue_body_keywords,0,[1],0.17253074157695328,0.17253074157695328,0.16927974108276242
bug_issue_label_keywords,1,[1],0.1812614463318443,0.1812614463318443,0.17505499084293452
bug_message_keywords,2,[1],0.3558270913477844,0.3558270913477844,0.33487243093440827
bugless_issue_body_keywords,3,[0],0.19517146483977557,0.19517146483977557,0.17968681867072356
bugless_issue_label_keywords,4,[0],0.00036337561410478784,0.00036337561410478784,0.00031492553222414943
bugless_message_keywords,5,[0],0.5627525460518028,0.5627525460518028,0.21547204914776305
github_ref_in_message,6,[1],0.0005184158761228307,0.0005184158761228307,0.0004990358433705753
version_in_message,7,[0],0.014074748786325449,0.014074748786325449,0.0053391990232463495
is_fix,8,"[0, 1]",1.0,0.7895473793350711,0.41378792430159206
manual_labels,9,"[0, 1]",0.00019864533571061735,0.00019864533571061735,4.8450081880638377e-05
