,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_if_only_changed_lines_in_one_file,0,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,1,[],0.0,0.0,0.0,0,0,0.0
github_ref_in_message,2,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,3,[0],1.0,0.8575152041702867,0.44917463075586445,651,500,0.5655951346655083
refactorings_detected,4,[],0.0,0.0,0.0,0,0,0.0
version_in_message,5,[0],0.0026064291920069507,0.0026064291920069507,0.0017376194613379669,2,1,0.6666666666666666
bug_issue_body_keyword_bad,6,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,7,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,8,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,9,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,10,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,11,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,12,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,29,[],0.0,0.0,0.0,0,0,0.0
