,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
github_ref_in_message,0,[],0.0,0.0,0.0,0,0,0.0
version_in_message,1,[0],0.02666666666666667,0.024,0.013333333333333334,7,3,0.7
bogusbugs_message_keyword_ad,2,"[0, 1]",0.392,0.392,0.23733333333333334,106,41,0.7210884353741497
bogusbugs_message_keyword_add,3,"[0, 1]",0.392,0.392,0.23733333333333334,106,41,0.7210884353741497
bogusbugs_message_keyword_build,4,"[0, 1]",0.392,0.392,0.23733333333333334,106,41,0.7210884353741497
bogusbugs_message_keyword_chang,5,"[0, 1]",0.392,0.392,0.23733333333333334,108,39,0.7346938775510204
bogusbugs_message_keyword_doc,6,"[0, 1]",0.392,0.392,0.23733333333333334,109,38,0.7414965986394557
bogusbugs_message_keyword_document,7,"[0, 1]",0.392,0.392,0.23733333333333334,110,37,0.7482993197278911
bogusbugs_message_keyword_javadoc,8,[1],0.392,0.392,0.23733333333333334,109,38,0.7414965986394557
bogusbugs_message_keyword_junit,9,[1],0.392,0.392,0.23733333333333334,109,38,0.7414965986394557
bogusbugs_message_keyword_messag,10,"[0, 1]",0.392,0.392,0.23733333333333334,106,41,0.7210884353741497
bogusbugs_message_keyword_report,11,"[0, 1]",0.392,0.392,0.23733333333333334,109,38,0.7414965986394557
bogusbugs_message_keyword_test,12,"[0, 1]",0.392,0.392,0.23733333333333334,102,45,0.6938775510204082
bogusbugs_message_keyword_typo,13,"[0, 1]",0.392,0.392,0.23733333333333334,109,38,0.7414965986394557
bogusbugs_message_keyword_unit,14,"[0, 1]",0.392,0.392,0.23733333333333334,108,39,0.7346938775510204
bogusbugs_message_keyword_warn,15,"[0, 1]",0.392,0.392,0.23733333333333334,107,40,0.7278911564625851
bug_issue_body_keyword_bad,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_outofbound,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,51,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,52,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_race|condit,53,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,54,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,55,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,56,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,57,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,58,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,59,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,60,[],0.0,0.0,0.0,0,0,0.0
