,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
github_ref_in_message,0,[],0.0,0.0,0.0,0,0,0.0
version_in_message,1,[0],0.0005753739930955121,0.0005753739930955121,0.0003835826620636747,2,1,0.6666666666666666
bogusbugs_message_keyword_ad,2,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1031,223,0.8221690590111643
bogusbugs_message_keyword_add,3,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1024,230,0.8165869218500797
bogusbugs_message_keyword_build,4,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1045,209,0.8333333333333333
bogusbugs_message_keyword_chang,5,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1017,237,0.8110047846889952
bogusbugs_message_keyword_doc,6,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1021,233,0.8141945773524721
bogusbugs_message_keyword_document,7,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1031,223,0.8221690590111643
bogusbugs_message_keyword_javadoc,8,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1037,217,0.8269537480063796
bogusbugs_message_keyword_junit,9,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1043,211,0.8317384370015949
bogusbugs_message_keyword_messag,10,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1032,222,0.8229665071770336
bogusbugs_message_keyword_report,11,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1036,218,0.8261562998405103
bogusbugs_message_keyword_test,12,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1002,252,0.799043062200957
bogusbugs_message_keyword_typo,13,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1042,212,0.8309409888357258
bogusbugs_message_keyword_unit,14,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1039,215,0.828548644338118
bogusbugs_message_keyword_warn,15,"[0, 1]",0.24050632911392406,0.24050632911392406,0.12447257383966245,1039,215,0.828548644338118
bug_issue_body_keyword_bad,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_outofbound,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,51,[],0.0,0.0,0.0,0,0,0.0
