,j,Polarity,Coverage,Overlaps,Conflicts
github_ref_in_message,0,[1],0.0014171731900322756,0.001392597932401658,0.001187804118813179
version_in_message,1,[0],0.052042203909104315,0.05085439979029113,0.024853777217097826
bug_issue_body_keyword_bad,2,[],0.0,0.0,0.0
bug_issue_body_keyword_broken,3,[],0.0,0.0,0.0
bug_issue_body_keyword_bug,4,[],0.0,0.0,0.0
bug_issue_body_keyword_close,5,[],0.0,0.0,0.0
bug_issue_body_keyword_concurr,6,[],0.0,0.0,0.0
bug_issue_body_keyword_correct,7,[],0.0,0.0,0.0
bug_issue_body_keyword_corrupt,8,[],0.0,0.0,0.0
bug_issue_body_keyword_crash,9,[],0.0,0.0,0.0
bug_issue_body_keyword_deadlock,10,[],0.0,0.0,0.0
bug_issue_body_keyword_defect,11,[],0.0,0.0,0.0
bug_issue_body_keyword_disabl,12,[],0.0,0.0,0.0
bug_issue_body_keyword_endless,13,[],0.0,0.0,0.0
bug_issue_body_keyword_ensur,14,[],0.0,0.0,0.0
bug_issue_body_keyword_error,15,[],0.0,0.0,0.0
bug_issue_body_keyword_except,16,[],0.0,0.0,0.0
bug_issue_body_keyword_fail,17,[],0.0,0.0,0.0
bug_issue_body_keyword_bugfix,18,[],0.0,0.0,0.0
bug_issue_body_keyword_garbag,19,[],0.0,0.0,0.0
bug_issue_body_keyword_handl,20,[],0.0,0.0,0.0
bug_issue_body_keyword_incomplet,21,[],0.0,0.0,0.0
bug_issue_body_keyword_inconsist,22,[],0.0,0.0,0.0
bug_issue_body_keyword_incorrect,23,[],0.0,0.0,0.0
bug_issue_body_keyword_infinit,24,[],0.0,0.0,0.0
bug_issue_body_keyword_invalid,25,[],0.0,0.0,0.0
bug_issue_body_keyword_issue,26,[],0.0,0.0,0.0
bug_issue_body_keyword_leak,27,[],0.0,0.0,0.0
bug_issue_body_keyword_loop,28,[],0.0,0.0,0.0
bug_issue_body_keyword_minor,29,[],0.0,0.0,0.0
bug_issue_body_keyword_mistak,30,[],0.0,0.0,0.0
bug_issue_body_keyword_npe,31,[],0.0,0.0,0.0
bug_issue_body_keyword_not|work,32,[],0.0,0.0,0.0
bug_issue_body_keyword_not|return,33,[],0.0,0.0,0.0
bug_issue_body_keyword_outofbound,34,[],0.0,0.0,0.0
bug_issue_body_keyword_patch,35,[],0.0,0.0,0.0
bug_issue_body_keyword_prevent,36,[],0.0,0.0,0.0
bug_issue_body_keyword_problem,37,[],0.0,0.0,0.0
bug_issue_body_keyword_properli,38,[],0.0,0.0,0.0
bug_issue_body_keyword_race|condit,39,[],0.0,0.0,0.0
bug_issue_body_keyword_repair,40,[],0.0,0.0,0.0
bug_issue_body_keyword_resolv,41,[],0.0,0.0,0.0
bug_issue_body_keyword_threw,42,[],0.0,0.0,0.0
bug_issue_body_keyword_timeout,43,[],0.0,0.0,0.0
bug_issue_body_keyword_unabl,44,[],0.0,0.0,0.0
bug_issue_body_keyword_unclos,45,[],0.0,0.0,0.0
bug_issue_body_keyword_unexpect,46,[],0.0,0.0,0.0
bug_issue_body_keyword_unknown,47,[],0.0,0.0,0.0
bug_issue_body_keyword_unsynchron,48,[],0.0,0.0,0.0
bug_issue_body_keyword_wrong,49,[],0.0,0.0,0.0
bug_issue_label_keyword_bug,50,[],0.0,0.0,0.0
bug_issue_label_keyword_fixed,51,[],0.0,0.0,0.0
bug_issue_label_keyword_fix,52,[],0.0,0.0,0.0
bug_issue_label_keyword_error,53,[],0.0,0.0,0.0
bug_message_keyword_bad,54,[1],0.006790962858593968,0.006725428838245655,0.006266690695807461
bug_message_keyword_broken,55,[1],0.009944787587856546,0.009756377279355145,0.00892901027245769
bug_message_keyword_bug,56,[1],0.14059504890476268,0.13826039942985402,0.12876615823189214
bug_message_keyword_close,57,[1],0.04243327817553287,0.03845208643937284,0.03496239985582515
bug_message_keyword_concurr,58,[1],0.0026049773088454545,0.0025558267935842194,0.0024083752478005144
bug_message_keyword_correct,59,[1],0.04301489260612416,0.0416222946737225,0.037690253452823695
