,j,Polarity,Coverage,Overlaps,Conflicts
github_ref_in_message,0,[],0.0,0.0,0.0
version_in_message,1,[0],0.00196078431372549,0.00196078431372549,0.00065359477124183
bug_issue_body_keyword_bad,2,[],0.0,0.0,0.0
bug_issue_body_keyword_broken,3,[],0.0,0.0,0.0
bug_issue_body_keyword_bug,4,[],0.0,0.0,0.0
bug_issue_body_keyword_close,5,[],0.0,0.0,0.0
bug_issue_body_keyword_concurr,6,[],0.0,0.0,0.0
bug_issue_body_keyword_correct,7,[],0.0,0.0,0.0
bug_issue_body_keyword_corrupt,8,[],0.0,0.0,0.0
bug_issue_body_keyword_crash,9,[],0.0,0.0,0.0
bug_issue_body_keyword_deadlock,10,[],0.0,0.0,0.0
bug_issue_body_keyword_defect,11,[],0.0,0.0,0.0
bug_issue_body_keyword_disabl,12,[],0.0,0.0,0.0
bug_issue_body_keyword_endless,13,[],0.0,0.0,0.0
bug_issue_body_keyword_ensur,14,[],0.0,0.0,0.0
bug_issue_body_keyword_error,15,[],0.0,0.0,0.0
bug_issue_body_keyword_except,16,[],0.0,0.0,0.0
bug_issue_body_keyword_fail,17,[],0.0,0.0,0.0
bug_issue_body_keyword_bugfix,18,[],0.0,0.0,0.0
bug_issue_body_keyword_garbag,19,[],0.0,0.0,0.0
bug_issue_body_keyword_handl,20,[],0.0,0.0,0.0
bug_issue_body_keyword_incomplet,21,[],0.0,0.0,0.0
bug_issue_body_keyword_inconsist,22,[],0.0,0.0,0.0
bug_issue_body_keyword_incorrect,23,[],0.0,0.0,0.0
bug_issue_body_keyword_infinit,24,[],0.0,0.0,0.0
bug_issue_body_keyword_invalid,25,[],0.0,0.0,0.0
bug_issue_body_keyword_issue,26,[],0.0,0.0,0.0
bug_issue_body_keyword_leak,27,[],0.0,0.0,0.0
bug_issue_body_keyword_loop,28,[],0.0,0.0,0.0
bug_issue_body_keyword_minor,29,[],0.0,0.0,0.0
bug_issue_body_keyword_mistak,30,[],0.0,0.0,0.0
bug_issue_body_keyword_npe,31,[],0.0,0.0,0.0
bug_issue_body_keyword_not|work,32,[],0.0,0.0,0.0
bug_issue_body_keyword_not|return,33,[],0.0,0.0,0.0
bug_issue_body_keyword_of|bound,34,[],0.0,0.0,0.0
bug_issue_body_keyword_patch,35,[],0.0,0.0,0.0
bug_issue_body_keyword_prevent,36,[],0.0,0.0,0.0
bug_issue_body_keyword_problem,37,[],0.0,0.0,0.0
bug_issue_body_keyword_properli,38,[],0.0,0.0,0.0
bug_issue_body_keyword_race|condit,39,[],0.0,0.0,0.0
bug_issue_body_keyword_repair,40,[],0.0,0.0,0.0
bug_issue_body_keyword_resolv,41,[],0.0,0.0,0.0
bug_issue_body_keyword_threw,42,[],0.0,0.0,0.0
bug_issue_body_keyword_timeout,43,[],0.0,0.0,0.0
bug_issue_body_keyword_unabl,44,[],0.0,0.0,0.0
bug_issue_body_keyword_unclos,45,[],0.0,0.0,0.0
bug_issue_body_keyword_unexpect,46,[],0.0,0.0,0.0
bug_issue_body_keyword_unknown,47,[],0.0,0.0,0.0
bug_issue_body_keyword_unsynchron,48,[],0.0,0.0,0.0
bug_issue_body_keyword_wrong,49,[],0.0,0.0,0.0
bug_issue_label_keyword_bug,50,[],0.0,0.0,0.0
bug_issue_label_keyword_fixed,51,[],0.0,0.0,0.0
bug_issue_label_keyword_fix,52,[],0.0,0.0,0.0
bug_issue_label_keyword_error,53,[],0.0,0.0,0.0
bug_message_keyword_bad,54,[1],0.0032679738562091504,0.00261437908496732,0.00065359477124183
bug_message_keyword_broken,55,[1],0.00849673202614379,0.00849673202614379,0.0058823529411764705
bug_message_keyword_bug,56,[1],0.01699346405228758,0.016339869281045753,0.01241830065359477
bug_message_keyword_close,57,[1],0.009150326797385621,0.0058823529411764705,0.00392156862745098
bug_message_keyword_concurr,58,[1],0.00261437908496732,0.00261437908496732,0.00261437908496732
bug_message_keyword_correct,59,[1],0.011764705882352941,0.00849673202614379,0.00784313725490196
bug_message_keyword_corrupt,60,[1],0.00065359477124183,0.00065359477124183,0.00065359477124183
bug_message_keyword_crash,61,[1],0.00196078431372549,0.00130718954248366,0.00130718954248366
bug_message_keyword_deadlock,62,[1],0.00261437908496732,0.00261437908496732,0.00261437908496732
bug_message_keyword_defect,63,[],0.0,0.0,0.0
bug_message_keyword_disabl,64,[1],0.011764705882352941,0.011111111111111112,0.011111111111111112
bug_message_keyword_endless,65,[],0.0,0.0,0.0
bug_message_keyword_ensur,66,[1],0.009150326797385621,0.00849673202614379,0.006535947712418301
bug_message_keyword_error,67,[1],0.03137254901960784,0.027450980392156862,0.02287581699346405
bug_message_keyword_except,68,[1],0.023529411764705882,0.023529411764705882,0.018300653594771243
bug_message_keyword_fail,69,[1],0.05751633986928104,0.044444444444444446,0.03986928104575163
bug_message_keyword_bugfix,70,[1],0.1738562091503268,0.12549019607843137,0.10065359477124183
bug_message_keyword_garbag,71,[1],0.00065359477124183,0.00065359477124183,0.00065359477124183
bug_message_keyword_handl,72,[1],0.011111111111111112,0.01045751633986928,0.006535947712418301
bug_message_keyword_incomplet,73,[1],0.00130718954248366,0.0,0.0
bug_message_keyword_inconsist,74,[1],0.00196078431372549,0.00196078431372549,0.00196078431372549
bug_message_keyword_incorrect,75,[1],0.00261437908496732,0.00065359477124183,0.00065359477124183
bug_message_keyword_infinit,76,[1],0.00196078431372549,0.00196078431372549,0.00196078431372549
bug_message_keyword_invalid,77,[1],0.0032679738562091504,0.0032679738562091504,0.00196078431372549
bug_message_keyword_issue,78,[],0.0,0.0,0.0
bug_message_keyword_leak,79,[1],0.0058823529411764705,0.0032679738562091504,0.00261437908496732
bug_message_keyword_loop,80,[1],0.00392156862745098,0.00392156862745098,0.00392156862745098
bug_message_keyword_minor,81,[1],0.028104575163398694,0.028104575163398694,0.026143790849673203
bug_message_keyword_mistak,82,[1],0.00130718954248366,0.0,0.0
bug_message_keyword_npe,83,[1],0.015032679738562092,0.011111111111111112,0.009150326797385621
bug_message_keyword_not|work,84,[1],0.00522875816993464,0.00130718954248366,0.00130718954248366
bug_message_keyword_not|return,85,[1],0.00065359477124183,0.0,0.0
bug_message_keyword_of|bound,86,[],0.0,0.0,0.0
bug_message_keyword_patch,87,[1],0.029411764705882353,0.02875816993464052,0.027450980392156862
bug_message_keyword_prevent,88,[1],0.00522875816993464,0.004575163398692811,0.00392156862745098
bug_message_keyword_problem,89,[1],0.01241830065359477,0.011111111111111112,0.00980392156862745
bug_message_keyword_properli,90,[1],0.00196078431372549,0.00130718954248366,0.0
bug_message_keyword_race|condit,91,[],0.0,0.0,0.0
bug_message_keyword_repair,92,[],0.0,0.0,0.0
bug_message_keyword_resolv,93,[1],0.00718954248366013,0.006535947712418301,0.004575163398692811
bug_message_keyword_threw,94,[1],0.00849673202614379,0.00784313725490196,0.00522875816993464
bug_message_keyword_timeout,95,[1],0.009150326797385621,0.006535947712418301,0.00522875816993464
bug_message_keyword_unabl,96,[1],0.00196078431372549,0.00130718954248366,0.00130718954248366
bug_message_keyword_unclos,97,[],0.0,0.0,0.0
bug_message_keyword_unexpect,98,[1],0.00196078431372549,0.00196078431372549,0.00196078431372549
bug_message_keyword_unknown,99,[1],0.00065359477124183,0.00065359477124183,0.00065359477124183
bug_message_keyword_unsynchron,100,[],0.0,0.0,0.0
bug_message_keyword_wrong,101,[1],0.00980392156862745,0.006535947712418301,0.0058823529411764705
bugless_issue_body_keyword_abil,102,[],0.0,0.0,0.0
bugless_issue_body_keyword_ad,103,[],0.0,0.0,0.0
bugless_issue_body_keyword_add,104,[],0.0,0.0,0.0
bugless_issue_body_keyword_addit,105,[],0.0,0.0,0.0
bugless_issue_body_keyword_allow,106,[],0.0,0.0,0.0
bugless_issue_body_keyword_analysi,107,[],0.0,0.0,0.0
bugless_issue_body_keyword_avoid,108,[],0.0,0.0,0.0
bugless_issue_body_keyword_baselin,109,[],0.0,0.0,0.0
bugless_issue_body_keyword_beautification,110,[],0.0,0.0,0.0
bugless_issue_body_keyword_benchmark,111,[],0.0,0.0,0.0
bugless_issue_body_keyword_better,112,[],0.0,0.0,0.0
bugless_issue_body_keyword_bump,113,[],0.0,0.0,0.0
bugless_issue_body_keyword_chang|log,114,[],0.0,0.0,0.0
bugless_issue_body_keyword_clean,115,[],0.0,0.0,0.0
bugless_issue_body_keyword_comment,116,[],0.0,0.0,0.0
bugless_issue_body_keyword_complet,117,[],0.0,0.0,0.0
bugless_issue_body_keyword_configur|chang,118,[],0.0,0.0,0.0
bugless_issue_body_keyword_consolid,119,[],0.0,0.0,0.0
bugless_issue_body_keyword_convert,120,[],0.0,0.0,0.0
bugless_issue_body_keyword_coverag,121,[],0.0,0.0,0.0
bugless_issue_body_keyword_create,122,[],0.0,0.0,0.0
bugless_issue_body_keyword_deprec,123,[],0.0,0.0,0.0
bugless_issue_body_keyword_develop,124,[],0.0,0.0,0.0
bugless_issue_body_keyword_doc,125,[],0.0,0.0,0.0
bugless_issue_body_keyword_drop,126,[],0.0,0.0,0.0
bugless_issue_body_keyword_enhanc,127,[],0.0,0.0,0.0
bugless_issue_body_keyword_exampl,128,[],0.0,0.0,0.0
bugless_issue_body_keyword_exclud,129,[],0.0,0.0,0.0
bugless_issue_body_keyword_expand,130,[],0.0,0.0,0.0
bugless_issue_body_keyword_extendgener,131,[],0.0,0.0,0.0
bugless_issue_body_keyword_featur,132,[],0.0,0.0,0.0
bugless_issue_body_keyword_forget,133,[],0.0,0.0,0.0
bugless_issue_body_keyword_format,134,[],0.0,0.0,0.0
bugless_issue_body_keyword_gitignor,135,[],0.0,0.0,0.0
bugless_issue_body_keyword_idea,136,[],0.0,0.0,0.0
bugless_issue_body_keyword_implement,137,[],0.0,0.0,0.0
bugless_issue_body_keyword_improv,138,[],0.0,0.0,0.0
bugless_issue_body_keyword_includ,139,[],0.0,0.0,0.0
bugless_issue_body_keyword_info,140,[],0.0,0.0,0.0
bugless_issue_body_keyword_intorduc,141,[],0.0,0.0,0.0
bugless_issue_body_keyword_limit,142,[],0.0,0.0,0.0
bugless_issue_body_keyword_log,143,[],0.0,0.0,0.0
bugless_issue_body_keyword_migrat,144,[],0.0,0.0,0.0
bugless_issue_body_keyword_minim,145,[],0.0,0.0,0.0
bugless_issue_body_keyword_modif,146,[],0.0,0.0,0.0
bugless_issue_body_keyword_move,147,[],0.0,0.0,0.0
bugless_issue_body_keyword_new,148,[],0.0,0.0,0.0
bugless_issue_body_keyword_note,149,[],0.0,0.0,0.0
bugless_issue_body_keyword_opinion,150,[],0.0,0.0,0.0
bugless_issue_body_keyword_optim,151,[],0.0,0.0,0.0
bugless_issue_body_keyword_pass|test,152,[],0.0,0.0,0.0
bugless_issue_body_keyword_perf|test,153,[],0.0,0.0,0.0
bugless_issue_body_keyword_perfom|test,154,[],0.0,0.0,0.0
bugless_issue_body_keyword_perform,155,[],0.0,0.0,0.0
bugless_issue_body_keyword_plugin,156,[],0.0,0.0,0.0
bugless_issue_body_keyword_polish,157,[],0.0,0.0,0.0
bugless_issue_body_keyword_possibl,158,[],0.0,0.0,0.0
bugless_issue_body_keyword_prepar,159,[],0.0,0.0,0.0
bugless_issue_body_keyword_propos,160,[],0.0,0.0,0.0
bugless_issue_body_keyword_provid,161,[],0.0,0.0,0.0
bugless_issue_body_keyword_publish,162,[],0.0,0.0,0.0
bugless_issue_body_keyword_readm,163,[],0.0,0.0,0.0
bugless_issue_body_keyword_reduc,164,[],0.0,0.0,0.0
bugless_issue_body_keyword_refactor,165,[],0.0,0.0,0.0
bugless_issue_body_keyword_refin,166,[],0.0,0.0,0.0
bugless_issue_body_keyword_reformat,167,[],0.0,0.0,0.0
bugless_issue_body_keyword_regress|test,168,[],0.0,0.0,0.0
bugless_issue_body_keyword_reimplement,169,[],0.0,0.0,0.0
bugless_issue_body_keyword_release,170,[],0.0,0.0,0.0
bugless_issue_body_keyword_remov,171,[],0.0,0.0,0.0
bugless_issue_body_keyword_renam,172,[],0.0,0.0,0.0
bugless_issue_body_keyword_reorgan,173,[],0.0,0.0,0.0
bugless_issue_body_keyword_replac,174,[],0.0,0.0,0.0
bugless_issue_body_keyword_restrict,175,[],0.0,0.0,0.0
bugless_issue_body_keyword_restructur,176,[],0.0,0.0,0.0
bugless_issue_body_keyword_review,177,[],0.0,0.0,0.0
bugless_issue_body_keyword_rewrit,178,[],0.0,0.0,0.0
bugless_issue_body_keyword_rid,179,[],0.0,0.0,0.0
bugless_issue_body_keyword_set|up,180,[],0.0,0.0,0.0
bugless_issue_body_keyword_simplif,181,[],0.0,0.0,0.0
bugless_issue_body_keyword_simplifi,182,[],0.0,0.0,0.0
bugless_issue_body_keyword_speedup,183,[],0.0,0.0,0.0
bugless_issue_body_keyword_stage,184,[],0.0,0.0,0.0
bugless_issue_body_keyword_stat,185,[],0.0,0.0,0.0
bugless_issue_body_keyword_statist,186,[],0.0,0.0,0.0
bugless_issue_body_keyword_support,187,[],0.0,0.0,0.0
bugless_issue_body_keyword_switch,188,[],0.0,0.0,0.0
bugless_issue_body_keyword_test,189,[],0.0,0.0,0.0
bugless_issue_body_keyword_test|coverag,190,[],0.0,0.0,0.0
bugless_issue_body_keyword_test|pass,191,[],0.0,0.0,0.0
bugless_issue_body_keyword_todo,192,[],0.0,0.0,0.0
bugless_issue_body_keyword_tweak,193,[],0.0,0.0,0.0
bugless_issue_body_keyword_unit,194,[],0.0,0.0,0.0
bugless_issue_body_keyword_unnecessari,195,[],0.0,0.0,0.0
bugless_issue_body_keyword_updat,196,[],0.0,0.0,0.0
bugless_issue_body_keyword_upgrad,197,[],0.0,0.0,0.0
bugless_issue_body_keyword_version,198,[],0.0,0.0,0.0
bugless_issue_label_keyword_enhancement,199,[],0.0,0.0,0.0
bugless_issue_label_keyword_feature,200,[],0.0,0.0,0.0
bugless_issue_label_keyword_request,201,[],0.0,0.0,0.0
bugless_issue_label_keyword_refactor,202,[],0.0,0.0,0.0
bugless_issue_label_keyword_renovate,203,[],0.0,0.0,0.0
