,j,Polarity,Coverage,Overlaps,Conflicts
bugless_if_not_code_files,0,[0],0.1754062697467115,0.1390843796578121,0.04908037604974121
github_ref_in_message,1,[1],0.0005209514116336168,0.0005064805390882386,0.00031353557181652863
version_in_message,2,[0],0.014070511738289446,0.011147395484123041,0.004326790891068095
bug_message_keyword_bad,3,[1],0.0020210985321711616,0.0018667425583537935,0.0013457911467201766
bug_message_keyword_broken,4,[1],0.004693386328884344,0.004375027132886023,0.003255946322710105
bug_message_keyword_bug,5,[1],0.03247263799182878,0.0305962481851114,0.018778368939719167
bug_message_keyword_close,6,[1],0.0387771147974319,0.0337267802790949,0.024600483327143017
bug_message_keyword_concurr,7,[1],0.000554716780906166,0.0005016569149064458,0.0004389498005431401
bug_message_keyword_correct,8,[1],0.0166270325546396,0.013679798179564233,0.010240554137946004
bug_message_keyword_corrupt,9,[1],0.0005402459083607878,0.000516127787451824,0.00035212456527087063
bug_message_keyword_crash,10,[1],0.0045438539792487685,0.00428337827343196,0.0025275790712594
bug_message_keyword_deadlock,11,[1],0.00034247731690728513,0.00032318282018011413,0.0002604757058168084
bug_message_keyword_defect,12,[1],0.0005450695325425806,0.00034247731690728513,0.00019294496727170993
bug_message_keyword_disabl,13,[1],0.008007216141775962,0.006656601370873993,0.005484460694698354
bug_message_keyword_endless,14,[1],0.00016882684636274618,0.00015435597381736795,9.647248363585496e-05
bug_message_keyword_ensur,15,[1],0.006285182308875951,0.005498931567243733,0.00433643813943168
bug_message_keyword_error,16,[1],0.027181122264402138,0.024706603059142455,0.0166270325546396
bug_message_keyword_except,17,[1],0.0062224751945126455,0.005455518949607598,0.003733485116707587
bug_message_keyword_fail,18,[1],0.014533579659741551,0.0133035554933844,0.010983392261942088
bug_message_keyword_bugfix,19,[1],0.25806871735009385,0.16597608447130668,0.12550587758606552
bug_message_keyword_garbag,20,[1],0.00022188671236246643,0.00021706308818067368,0.00015435597381736795
bug_message_keyword_handl,21,[1],0.014755466372104016,0.013086492405203726,0.009709955477948801
bug_message_keyword_incomplet,22,[1],0.000689778257996363,0.0005402459083607878,0.0004775387939974821
bug_message_keyword_inconsist,23,[1],0.0006608365129056065,0.0005981293985423008,0.0004196553038159691
