,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
github_ref_in_message,0,[],0.0,0.0,0.0,0,0,0.0
version_in_message,1,[0],0.02666666666666667,0.024,0.013333333333333334,7,3,0.7
bug_message_keyword_bad,2,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,3,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,4,[1],0.06133333333333333,0.06133333333333333,0.034666666666666665,19,4,0.8260869565217391
bug_message_keyword_close,5,[1],0.042666666666666665,0.037333333333333336,0.034666666666666665,8,8,0.5
bug_message_keyword_concurr,6,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,7,[1],0.021333333333333333,0.018666666666666668,0.013333333333333334,5,3,0.625
bug_message_keyword_corrupt,8,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_crash,9,[1],0.016,0.016,0.010666666666666666,4,2,0.6666666666666666
bug_message_keyword_dead|lock,10,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,12,[1],0.005333333333333333,0.0026666666666666666,0.0,1,1,0.5
bug_message_keyword_endless,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,14,[1],0.0026666666666666666,0.0,0.0,0,1,0.0
bug_message_keyword_error,15,[1],0.05333333333333334,0.04533333333333334,0.02666666666666667,11,9,0.55
bug_message_keyword_except,16,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_fail,17,[1],0.021333333333333333,0.018666666666666668,0.010666666666666666,5,3,0.625
bug_message_keyword_bugfix,18,[1],0.4,0.28,0.19733333333333333,114,36,0.76
bug_message_keyword_garbag,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,20,[1],0.042666666666666665,0.042666666666666665,0.032,8,8,0.5
bug_message_keyword_incomplet,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,22,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_incorrect,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,24,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_invalid,25,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_issue,26,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,27,[1],0.018666666666666668,0.018666666666666668,0.008,7,0,1.0
bug_message_keyword_loop,28,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_minor,29,[1],0.013333333333333334,0.010666666666666666,0.010666666666666666,1,4,0.2
bug_message_keyword_mistak,30,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|work,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,33,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,35,[1],0.018666666666666668,0.013333333333333334,0.010666666666666666,3,4,0.4285714285714286
bug_message_keyword_prevent,36,[1],0.008,0.008,0.008,2,1,0.6666666666666666
bug_message_keyword_problem,37,[1],0.021333333333333333,0.021333333333333333,0.010666666666666666,7,1,0.875
bug_message_keyword_properli,38,[1],0.013333333333333334,0.005333333333333333,0.0026666666666666666,5,0,1.0
bug_message_keyword_race|condit,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,40,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_resolv,41,[1],0.018666666666666668,0.018666666666666668,0.013333333333333334,2,5,0.2857142857142857
bug_message_keyword_threw,42,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,43,[1],0.013333333333333334,0.013333333333333334,0.005333333333333333,3,2,0.6
bug_message_keyword_unabl,44,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0,1,0.0
bug_message_keyword_unclos,45,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,46,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,47,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,48,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,49,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bugless_message_keyword_abil,50,[0],0.021333333333333333,0.016,0.013333333333333334,6,2,0.75
bugless_message_keyword_ad,51,[0],0.09866666666666667,0.08533333333333333,0.042666666666666665,31,6,0.8378378378378378
bugless_message_keyword_add,52,[0],0.11733333333333333,0.08533333333333333,0.04533333333333334,34,10,0.7727272727272727
bugless_message_keyword_addit,53,[0],0.008,0.008,0.0026666666666666666,3,0,1.0
bugless_message_keyword_allow,54,[0],0.016,0.005333333333333333,0.0026666666666666666,5,1,0.8333333333333333
bugless_message_keyword_analysi,55,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_avoid,56,[0],0.008,0.008,0.008,0,3,0.0
bugless_message_keyword_baselin,57,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_beautification,58,[],0.0,0.0,0.0,0,0,0.0
