,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
github_ref_in_message,0,[],0.0,0.0,0.0,0,0,0.0
version_in_message,1,[0],0.0005753739930955121,0.0005753739930955121,0.0003835826620636747,2,1,0.6666666666666666
bug_message_keyword_bad,2,[1],0.0038358266206367474,0.003260452627541235,0.0015343306482546988,17,3,0.85
bug_message_keyword_broken,3,[1],0.004219409282700422,0.0034522439585730723,0.002109704641350211,18,4,0.8181818181818181
bug_message_keyword_bug,4,[1],0.10203298810893748,0.09934790947449175,0.04948216340621404,456,76,0.8571428571428572
bug_message_keyword_close,5,[1],0.01380897583429229,0.009205983889528193,0.004411200613732259,59,13,0.8194444444444444
bug_message_keyword_concurr,6,[1],0.008438818565400843,0.00805523590333717,0.006137322593018795,32,12,0.7272727272727273
bug_message_keyword_correct,7,[1],0.01726121979286536,0.014384349827387802,0.008822401227464518,69,21,0.7666666666666666
bug_message_keyword_corrupt,8,[1],0.005178365937859608,0.004219409282700422,0.002493287303413886,25,2,0.9259259259259259
bug_message_keyword_crash,9,[1],0.0009589566551591868,0.0007671653241273494,0.0005753739930955121,4,1,0.8
bug_message_keyword_dead|lock,10,[1],0.0055619485999232835,0.004602991944764097,0.0034522439585730723,29,0,1.0
bug_message_keyword_defect,11,[1],0.00019179133103183735,0.00019179133103183735,0.0,1,0,1.0
bug_message_keyword_disabl,12,[1],0.0055619485999232835,0.004411200613732259,0.0038358266206367474,16,13,0.5517241379310345
bug_message_keyword_endless,13,[1],0.0009589566551591868,0.0009589566551591868,0.00019179133103183735,5,0,1.0
bug_message_keyword_ensur,14,[1],0.0030686612965093976,0.002493287303413886,0.0011507479861910242,13,3,0.8125
bug_message_keyword_error,15,[1],0.01726121979286536,0.01534330648254699,0.011123897199846567,61,29,0.6777777777777778
bug_message_keyword_except,16,[1],0.02896049098580744,0.02474108170310702,0.01457614115841964,105,46,0.695364238410596
bug_message_keyword_fail,17,[1],0.04449558879938627,0.029344073647871116,0.02090525508247027,200,32,0.8620689655172413
bug_message_keyword_fix,18,[1],0.2213271960107403,0.1751054852320675,0.09877253548139624,980,174,0.8492201039861351
bug_message_keyword_garbag,19,[1],0.003260452627541235,0.002493287303413886,0.0015343306482546988,13,4,0.7647058823529411
bug_message_keyword_handl,20,[1],0.02032988108937476,0.017644802454929037,0.010740314537782892,68,38,0.6415094339622641
bug_message_keyword_incomplet,21,[1],0.0015343306482546988,0.0015343306482546988,0.0011507479861910242,5,3,0.625
bug_message_keyword_inconsist,22,[1],0.004602991944764097,0.0034522439585730723,0.002109704641350211,20,4,0.8333333333333333
bug_message_keyword_incorrect,23,[1],0.009014192558496356,0.005370157268891446,0.002685078634445723,43,4,0.9148936170212766
bug_message_keyword_infinit,24,[1],0.002493287303413886,0.0023014959723820483,0.0005753739930955121,12,1,0.9230769230769231
bug_message_keyword_invalid,25,[1],0.006712696586114308,0.004986574606827772,0.002685078634445723,31,4,0.8857142857142857
bug_message_keyword_issue,26,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,27,[1],0.00364403528960491,0.002493287303413886,0.0013425393172228615,19,0,1.0
bug_message_keyword_loop,28,[1],0.006137322593018795,0.0055619485999232835,0.0019179133103183737,27,5,0.84375
bug_message_keyword_minor,29,[1],0.007863444572305332,0.007863444572305332,0.00728807057920982,19,22,0.4634146341463415
bug_message_keyword_mistak,30,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,31,[1],0.012466436517069428,0.009973149213655544,0.0034522439585730723,60,5,0.9230769230769231
bug_message_keyword_not|work,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,33,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,35,[1],0.07077100115074798,0.05811277330264672,0.043153049482163405,211,158,0.5718157181571816
bug_message_keyword_prevent,36,[1],0.009397775220560031,0.007479861910241657,0.002685078634445723,39,10,0.7959183673469388
bug_message_keyword_problem,37,[1],0.011891062523973917,0.01016494054468738,0.00652090525508247,58,4,0.935483870967742
bug_message_keyword_properli,38,[1],0.008822401227464518,0.006904487917146145,0.004602991944764097,38,8,0.8260869565217391
bug_message_keyword_race|condit,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,40,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,41,[1],0.006712696586114308,0.005945531261986959,0.004027617951668585,17,18,0.4857142857142857
bug_message_keyword_threw,42,[1],0.025891829689298044,0.018411967779056387,0.008822401227464518,111,24,0.8222222222222222
bug_message_keyword_timeout,43,[1],0.003260452627541235,0.0030686612965093976,0.0019179133103183737,11,6,0.6470588235294118
bug_message_keyword_unabl,44,[1],0.0009589566551591868,0.00019179133103183735,0.00019179133103183735,5,0,1.0
bug_message_keyword_unclos,45,[1],0.0009589566551591868,0.0007671653241273494,0.0003835826620636747,4,1,0.8
