,j,Polarity,Coverage,Overlaps,Conflicts
github_ref_in_message,0,[1],0.0005209514116336168,0.0005064805390882386,0.00030388832345294313
version_in_message,1,[0],0.014070511738289446,0.01076150554957962,0.004326790891068095
bug_message_keyword_bad,2,[1],0.0020210985321711616,0.0018474480616266224,0.0012348477905389436
bug_message_keyword_broken,3,[1],0.004693386328884344,0.004331614515249888,0.0029617052476207475
bug_message_keyword_bug,4,[1],0.03247263799182878,0.029935411672205797,0.016631856178821396
bug_message_keyword_close,5,[1],0.0387771147974319,0.032921235040735505,0.02269515177533488
bug_message_keyword_concurr,6,[1],0.000554716780906166,0.000496833290724653,0.0004293025521795546
bug_message_keyword_correct,7,[1],0.0166270325546396,0.013057550660112969,0.009160062321224429
bug_message_keyword_corrupt,8,[1],0.0005402459083607878,0.0005113041632700313,0.00033765369272549235
bug_message_keyword_crash,9,[1],0.0045438539792487685,0.004268907400886582,0.002378046721623825
bug_message_keyword_dead|lock,10,[1],0.00034247731690728513,0.00032318282018011413,0.0002556520816350156
bug_message_keyword_defect,11,[1],0.0005450695325425806,0.00034247731690728513,0.00018812134308991718
bug_message_keyword_disabl,12,[1],0.008007216141775962,0.006154944455967547,0.004799506060883784
bug_message_keyword_endless,13,[1],0.00016882684636274618,0.00015435597381736795,9.164885945406221e-05
bug_message_keyword_ensur,14,[1],0.006285182308875951,0.005368693714335329,0.004018078943433359
bug_message_keyword_error,15,[1],0.027181122264402138,0.024508834467688954,0.015435597381736794
bug_message_keyword_except,16,[1],0.0062224751945126455,0.005407282707789671,0.00359842363961739
bug_message_keyword_fail,17,[1],0.014533579659741551,0.013125081398658069,0.010486558971217435
bug_message_keyword_bugfix,18,[1],0.25806871735009385,0.15329960012155533,0.10807812341724832
bug_message_keyword_garbag,19,[1],0.00022188671236246643,0.00021706308818067368,0.00015435597381736795
bug_message_keyword_handl,20,[1],0.014755466372104016,0.012917665558840979,0.00926618205322387
bug_message_keyword_incomplet,21,[1],0.000689778257996363,0.0005113041632700313,0.0004389498005431401
bug_message_keyword_inconsist,22,[1],0.0006608365129056065,0.0005884821501787153,0.00038588993454341986
bug_message_keyword_incorrect,23,[1],0.0029568816234389547,0.002624051554895255,0.0015339124898100939
bug_message_keyword_infinit,24,[1],0.0007428381239960833,0.0007138963789053267,0.0004534206730885183
bug_message_keyword_invalid,25,[1],0.0034971275317997423,0.0032270045776193485,0.002185101754352115
bug_message_keyword_issue,26,[],0.0,0.0,0.0
bug_message_keyword_leak,27,[1],0.0014856762479921665,0.0013650856434473477,0.0007042491305417413
bug_message_keyword_loop,28,[1],0.002566168064713742,0.002353928600714861,0.0016930920878092547
bug_message_keyword_minor,29,[1],0.007481441105960552,0.0060681192206952774,0.004751269819065857
bug_message_keyword_mistak,30,[1],0.0011046099376305393,0.0010515500716308192,0.0008103688625411817
bug_message_keyword_npe,31,[1],0.0016979157119910474,0.0013699092676291405,0.0006656601370873993
bug_message_keyword_not|work,32,[],0.0,0.0,0.0
bug_message_keyword_not|return,33,[],0.0,0.0,0.0
bug_message_keyword_of|bound,34,[1],4.8236241817927485e-06,4.8236241817927485e-06,0.0
bug_message_keyword_patch,35,[1],0.01200600058848215,0.010201965144491662,0.008422047821410138
bug_message_keyword_prevent,36,[1],0.006082590093240655,0.005359046465971743,0.0037190142441622088
bug_message_keyword_problem,37,[1],0.007616502583050749,0.007081080298871755,0.004794682436701992
bug_message_keyword_properli,38,[1],0.004799506060883784,0.004249612904159411,0.002850761891439514
bug_message_keyword_race|condit,39,[],0.0,0.0,0.0
bug_message_keyword_repair,40,[1],0.0002556520816350156,0.00020741583981708818,0.0001398851012719897
bug_message_keyword_resolv,41,[1],0.011171513605032005,0.00875970151413563,0.006333418550693878
bug_message_keyword_threw,42,[1],0.002759113031985452,0.002619227930713462,0.001722033832900011
bug_message_keyword_timeout,43,[1],0.0022333379961700425,0.001779917323081524,0.0014181455094470679
bug_message_keyword_unabl,44,[1],0.0006801310096327775,0.0005016569149064458,0.00031353557181652863
