,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
github_ref_in_message,0,[],0.0,0.0,0.0,0,0,0.0
version_in_message,1,[0],0.0026064291920069507,0.0026064291920069507,0.0017376194613379669,2,1,0.6666666666666666
bug_message_keyword_bad,2,[1],0.004344048653344918,0.0034752389226759338,0.0008688097306689834,4,1,0.8
bug_message_keyword_broken,3,[1],0.0069504778453518675,0.005212858384013901,0.004344048653344918,7,1,0.875
bug_message_keyword_bug,4,[1],0.028670721112076455,0.02780191138140747,0.016507384882710686,32,1,0.9696969696969697
bug_message_keyword_close,5,[1],0.04083405734144222,0.036490008688097306,0.028670721112076455,21,26,0.44680851063829785
bug_message_keyword_concurr,6,[1],0.006081668114682885,0.006081668114682885,0.005212858384013901,3,4,0.4285714285714286
bug_message_keyword_correct,7,[1],0.01216333622936577,0.009556907037358819,0.006081668114682885,11,3,0.7857142857142857
bug_message_keyword_corrupt,8,[1],0.0026064291920069507,0.0026064291920069507,0.0008688097306689834,2,1,0.6666666666666666
bug_message_keyword_crash,9,[1],0.0008688097306689834,0.0008688097306689834,0.0008688097306689834,1,0,1.0
bug_message_keyword_dead|lock,10,[1],0.0034752389226759338,0.0026064291920069507,0.0017376194613379669,4,0,1.0
bug_message_keyword_defect,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,12,[1],0.006081668114682885,0.006081668114682885,0.006081668114682885,4,3,0.5714285714285714
bug_message_keyword_endless,13,[1],0.0008688097306689834,0.0008688097306689834,0.0008688097306689834,1,0,1.0
bug_message_keyword_ensur,14,[1],0.004344048653344918,0.004344048653344918,0.0026064291920069507,5,0,1.0
bug_message_keyword_error,15,[1],0.026064291920069503,0.022589052997393572,0.013032145960034752,19,11,0.6333333333333333
bug_message_keyword_except,16,[1],0.01998262380538662,0.018245004344048653,0.010425716768027803,14,9,0.6086956521739131
bug_message_keyword_fail,17,[1],0.04257167680278019,0.035621198957428324,0.02432667245873154,39,10,0.7959183673469388
bug_message_keyword_bugfix,18,[1],0.2693310165073849,0.1737619461337967,0.1103388357949609,279,31,0.9
bug_message_keyword_garbag,19,[1],0.0017376194613379669,0.0017376194613379669,0.0017376194613379669,1,1,0.5
bug_message_keyword_handl,20,[1],0.021720243266724587,0.020851433536055605,0.015638575152041704,13,12,0.52
bug_message_keyword_incomplet,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,22,[1],0.0017376194613379669,0.0017376194613379669,0.0008688097306689834,2,0,1.0
bug_message_keyword_incorrect,23,[1],0.0008688097306689834,0.0008688097306689834,0.0,1,0,1.0
bug_message_keyword_infinit,24,[1],0.0017376194613379669,0.0017376194613379669,0.0008688097306689834,2,0,1.0
bug_message_keyword_invalid,25,[1],0.0034752389226759338,0.0017376194613379669,0.0,2,2,0.5
bug_message_keyword_issue,26,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,27,[1],0.004344048653344918,0.004344048653344918,0.0008688097306689834,5,0,1.0
bug_message_keyword_loop,28,[1],0.008688097306689836,0.0069504778453518675,0.005212858384013901,8,2,0.8
bug_message_keyword_minor,29,[1],0.016507384882710686,0.015638575152041704,0.01216333622936577,4,15,0.21052631578947367
bug_message_keyword_mistak,30,[1],0.0008688097306689834,0.0008688097306689834,0.0008688097306689834,1,0,1.0
bug_message_keyword_npe,31,[1],0.020851433536055605,0.013900955690703735,0.004344048653344918,22,2,0.9166666666666667
bug_message_keyword_not|work,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,33,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,35,[1],0.01216333622936577,0.008688097306689836,0.007819287576020852,6,8,0.4285714285714286
bug_message_keyword_prevent,36,[1],0.010425716768027803,0.007819287576020852,0.006081668114682885,7,5,0.5833333333333334
bug_message_keyword_problem,37,[1],0.013900955690703735,0.013032145960034752,0.0034752389226759338,13,3,0.8125
bug_message_keyword_properli,38,[1],0.011294526498696786,0.010425716768027803,0.0034752389226759338,12,1,0.9230769230769231
bug_message_keyword_race|condit,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,40,[1],0.0017376194613379669,0.0017376194613379669,0.0017376194613379669,1,1,0.5
bug_message_keyword_resolv,41,[1],0.008688097306689836,0.0069504778453518675,0.0034752389226759338,7,3,0.7
bug_message_keyword_threw,42,[1],0.0069504778453518675,0.005212858384013901,0.0026064291920069507,6,2,0.75
bug_message_keyword_timeout,43,[1],0.008688097306689836,0.007819287576020852,0.0034752389226759338,7,3,0.7
bug_message_keyword_unabl,44,[1],0.0017376194613379669,0.0017376194613379669,0.0008688097306689834,2,0,1.0
bug_message_keyword_unclos,45,[],0.0,0.0,0.0,0,0,0.0
