,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
github_ref_in_message,0,[],0.0,0.0,0.0,0,0,0.0
version_in_message,1,[0],0.02666666666666667,0.02666666666666667,0.010666666666666666,7,3,0.7
bug_message_keyword_bad,2,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,3,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,4,[1],0.06133333333333333,0.06133333333333333,0.06133333333333333,19,4,0.8260869565217391
bug_message_keyword_close,5,[1],0.042666666666666665,0.042666666666666665,0.042666666666666665,8,8,0.5
bug_message_keyword_concurr,6,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,7,[1],0.021333333333333333,0.021333333333333333,0.021333333333333333,5,3,0.625
bug_message_keyword_corrupt,8,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,1,0,1.0
bug_message_keyword_crash,9,[1],0.016,0.016,0.016,4,2,0.6666666666666666
bug_message_keyword_deadlock,10,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,12,[1],0.005333333333333333,0.005333333333333333,0.005333333333333333,1,1,0.5
bug_message_keyword_endless,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,14,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0,1,0.0
bug_message_keyword_error,15,[1],0.05333333333333334,0.05333333333333334,0.05333333333333334,11,9,0.55
bug_message_keyword_except,16,[1],0.005333333333333333,0.005333333333333333,0.005333333333333333,2,0,1.0
bug_message_keyword_fail,17,[1],0.021333333333333333,0.021333333333333333,0.021333333333333333,5,3,0.625
bug_message_keyword_fix,18,[1],0.384,0.384,0.384,108,36,0.75
bug_message_keyword_garbag,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,20,[1],0.042666666666666665,0.042666666666666665,0.042666666666666665,8,8,0.5
bug_message_keyword_incomplet,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,22,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,1,0,1.0
bug_message_keyword_incorrect,23,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,24,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,1,0,1.0
bug_message_keyword_invalid,25,[1],0.005333333333333333,0.005333333333333333,0.005333333333333333,2,0,1.0
bug_message_keyword_issue,26,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,27,[1],0.018666666666666668,0.018666666666666668,0.018666666666666668,7,0,1.0
bug_message_keyword_loop,28,[1],0.005333333333333333,0.005333333333333333,0.005333333333333333,2,0,1.0
bug_message_keyword_minor,29,[1],0.013333333333333334,0.013333333333333334,0.013333333333333334,1,4,0.2
bug_message_keyword_mistak,30,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|work,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,33,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,35,[1],0.018666666666666668,0.018666666666666668,0.018666666666666668,3,4,0.4285714285714286
bug_message_keyword_prevent,36,[1],0.008,0.008,0.008,2,1,0.6666666666666666
