,j,Polarity,Coverage,Overlaps,Conflicts
github_ref_in_message,0,[1],0.0005184158761228307,0.0005184158761228307,0.0004360507369257454
version_in_message,1,[0],0.014074748786325449,0.011666779716857721,0.005382804096938924
bug_issue_body_keyword_bad,2,[1],0.003401195748020814,0.0033915057316446866,0.003255845502378899
bug_issue_body_keyword_broken,3,[1],0.006133780366088819,0.006133780366088819,0.005741334702855648
bug_issue_body_keyword_bug,4,[1],0.0426457620713379,0.042626382038585646,0.04119225961491875
bug_issue_body_keyword_close,5,[1],0.018701731605926412,0.018599986433977072,0.017626139788176242
bug_issue_body_keyword_concurr,6,[1],0.0028246397736412174,0.0028246397736412174,0.0025823893642380256
bug_issue_body_keyword_correct,7,[1],0.018348046008197755,0.01834320100000969,0.017490479558910456
bug_issue_body_keyword_corrupt,8,[1],0.0006492310972005543,0.0006492310972005543,0.0006250060562602351
bug_issue_body_keyword_crash,9,[1],0.006395410808244266,0.006371185767303947,0.005910909989437882
bug_issue_body_keyword_deadlock,10,[1],0.0002761654667196388,0.0002761654667196388,0.00024225040940319188
bug_issue_body_keyword_defect,11,[1],0.00033915057316446866,0.00033915057316446866,0.00031008052403608564
bug_issue_body_keyword_disabl,12,[1],0.006511691004757798,0.0065068459965697345,0.006245215554414287
bug_issue_body_keyword_endless,13,[1],0.000179265302958362,0.00017442029477029815,0.00015988527020610664
bug_issue_body_keyword_ensur,14,[1],0.006642506225835522,0.006632816209459394,0.006492310972005542
bug_issue_body_keyword_error,15,[1],0.053983081231407284,0.05394432116590277,0.05009738466458008
bug_issue_body_keyword_except,16,[1],0.017902305254895882,0.017892615238519753,0.016884853535402474
bug_issue_body_keyword_fail,17,[1],0.028789038653475325,0.028789038653475325,0.027374296262560684
bug_issue_body_keyword_bugfix,18,[1],0.06459849417145515,0.06434655374567583,0.060291281892266395
bug_issue_body_keyword_garbag,19,[1],0.0005184158761228307,0.0005184158761228307,0.00047481080243025613
bug_issue_body_keyword_handl,20,[1],0.01117258888167521,0.011162898865299082,0.010688088062868827
bug_issue_body_keyword_incomplet,21,[1],0.0007219062200215119,0.0007219062200215119,0.0006686111299528096
bug_issue_body_keyword_inconsist,22,[1],0.0013953623581623852,0.0013905173499743214,0.0013372222599056193
bug_issue_body_keyword_incorrect,23,[1],0.0033672806907043672,0.0033672806907043672,0.0031783253713698776
bug_issue_body_keyword_infinit,24,[1],0.0007703563019021502,0.0007703563019021502,0.0007364412445857034
bug_issue_body_keyword_invalid,25,[1],0.00681692652060582,0.00681692652060582,0.006477775947441351
bug_issue_body_keyword_issue,26,[],0.0,0.0,0.0
bug_issue_body_keyword_leak,27,[1],0.0012354770879562786,0.0012354770879562786,0.0011531119487591935
bug_issue_body_keyword_loop,28,[1],0.0029409199701547497,0.0029409199701547497,0.002722894601691877
bug_issue_body_keyword_minor,29,[1],0.0035804610509791762,0.0035756160427911124,0.003527165960910474
bug_issue_body_keyword_mistak,30,[1],0.0007412862527737672,0.0007412862527737672,0.0006928361708931288
bug_issue_body_keyword_npe,31,[1],0.0013662923090340022,0.0013662923090340022,0.0012112520470159594
bug_issue_body_keyword_not|work,32,[1],0.005702574637351137,0.005683194604598882,0.005334354015058286
bug_issue_body_keyword_not|return,33,[1],0.000595936007131852,0.000595936007131852,0.0005329509006870222
bug_issue_body_keyword_of|bound,34,[1],0.00025194042577931955,0.00025194042577931955,0.00020833535208674502
bug_issue_body_keyword_patch,35,[1],0.006017500169575286,0.006012655161387223,0.005910909989437882
bug_issue_body_keyword_prevent,36,[1],0.005164778728476051,0.005164778728476051,0.00496128838457737
bug_issue_body_keyword_problem,37,[1],0.02758747662283549,0.027553561565519046,0.026603939960658532
bug_issue_body_keyword_properli,38,[1],0.005586294440837605,0.005581449432649541,0.0052955939495537745
bug_issue_body_keyword_race|condit,39,[1],0.0005184158761228307,0.0005184158761228307,0.0005135708679347668
bug_issue_body_keyword_repair,40,[1],0.00017442029477029815,0.00017442029477029815,0.00017442029477029815
bug_issue_body_keyword_resolv,41,[1],0.016371282667467707,0.01633736761015126,0.015629996414693943
bug_issue_body_keyword_threw,42,[1],0.00739832750317348,0.00739832750317348,0.0069138266843670965
bug_issue_body_keyword_timeout,43,[1],0.0024612641595364295,0.0024612641595364295,0.0023498289712109615
bug_issue_body_keyword_unabl,44,[1],0.0035077859281582185,0.0035077859281582185,0.0033915057316446866
bug_issue_body_keyword_unclos,45,[1],9.205515557321292e-05,9.205515557321292e-05,7.752013100902141e-05
bug_issue_body_keyword_unexpect,46,[1],0.0029651450110950686,0.0029651450110950686,0.0027277396098799407
bug_issue_body_keyword_unknown,47,[1],0.00496128838457737,0.00496128838457737,0.004723882983362242
bug_issue_body_keyword_unsynchron,48,[1],9.690016376127676e-06,9.690016376127676e-06,9.690016376127676e-06
bug_issue_body_keyword_wrong,49,[1],0.008100853690442738,0.008100853690442738,0.0074225525441138
bug_issue_label_keyword_bug,50,[1],0.1976472640238762,0.19355807711315032,0.16331553600325585
bug_issue_label_keyword_fixed,51,[],0.0,0.0,0.0
bug_issue_label_keyword_fix,52,[1],0.005523309334392775,0.005465169236136009,0.004578532737720326
bug_issue_label_keyword_error,53,[1],1.9380032752255353e-05,1.9380032752255353e-05,1.9380032752255353e-05
bug_message_keyword_bad,54,[1],0.0020252134226106844,0.0019476932916016629,0.0016327677593775134
bug_message_keyword_broken,55,[1],0.004631827827789029,0.004452562524830667,0.0037112762720569
bug_message_keyword_bug,56,[1],0.03240341476177095,0.031100107559181776,0.023711470072384423
bug_message_keyword_close,57,[1],0.038382154865841726,0.03754396844930668,0.03225806451612903
bug_message_keyword_concurr,58,[1],0.0005474859252512137,0.0005184158761228307,0.00047481080243025613
bug_message_keyword_correct,59,[1],0.016589308035930582,0.014627079719764726,0.012567951239837595
bug_message_keyword_corrupt,60,[1],0.0005329509006870222,0.0005135708679347668,0.00043120572873768157
