,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
github_ref_in_message,0,[],0.0,0.0,0.0,0,0,0.0
version_in_message,1,[0],0.004136504653567736,0.0031023784901758012,0.0,4,0,1.0
bug_issue_body_keyword_bad,2,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,3,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,4,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,5,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,6,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,7,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,8,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,9,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,10,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,11,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,12,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_race|condit,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fixed,51,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,52,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,53,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,54,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,55,[1],0.007238883143743537,0.007238883143743537,0.004136504653567736,6,1,0.8571428571428572
bug_message_keyword_bug,56,[1],0.2078593588417787,0.20682523267838676,0.1375387797311272,135,66,0.6716417910447761
bug_message_keyword_close,57,[1],0.002068252326783868,0.001034126163391934,0.0,2,0,1.0
bug_message_keyword_concurr,58,[1],0.001034126163391934,0.001034126163391934,0.0,1,0,1.0
bug_message_keyword_correct,59,[1],0.010341261633919338,0.010341261633919338,0.008273009307135471,5,5,0.5
bug_message_keyword_corrupt,60,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_crash,61,[1],0.0031023784901758012,0.0031023784901758012,0.001034126163391934,3,0,1.0
bug_message_keyword_deadlock,62,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,63,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,64,[1],0.005170630816959669,0.005170630816959669,0.004136504653567736,4,1,0.8
bug_message_keyword_endless,65,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,66,[1],0.001034126163391934,0.001034126163391934,0.0,0,1,0.0
bug_message_keyword_error,67,[1],0.033092037228541885,0.031023784901758014,0.020682523267838676,20,12,0.625
bug_message_keyword_except,68,[1],0.007238883143743537,0.005170630816959669,0.005170630816959669,4,3,0.5714285714285714
bug_message_keyword_fail,69,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_bugfix,70,[1],0.39710444674250256,0.35263702171664946,0.25749741468459153,278,106,0.7239583333333334
bug_message_keyword_garbag,71,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,72,[1],0.02688728024819028,0.02481902792140641,0.01964839710444674,14,12,0.5384615384615384
bug_message_keyword_incomplet,73,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,74,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,75,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_infinit,76,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_invalid,77,[1],0.004136504653567736,0.004136504653567736,0.001034126163391934,4,0,1.0
bug_message_keyword_issue,78,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,79,[1],0.0031023784901758012,0.0031023784901758012,0.0,3,0,1.0
bug_message_keyword_loop,80,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_minor,81,[1],0.015511892450879007,0.015511892450879007,0.008273009307135471,6,9,0.4
bug_message_keyword_mistak,82,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,83,[1],0.0062047569803516025,0.0062047569803516025,0.004136504653567736,5,1,0.8333333333333333
bug_message_keyword_not|work,84,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,85,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_of|bound,86,[],0.0,0.0,0.0,0,0,0.0
