index,prediction
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,0
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,1
287,1
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,0
299,1
300,1
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,1
379,1
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,1
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,1
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,1
450,1
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,0
463,1
464,0
465,0
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,1
540,1
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,1
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,0
560,1
561,1
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,1
570,1
571,0
572,0
573,0
574,0
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,1
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,1
647,0
648,0
649,1
650,0
651,0
652,1
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,0
676,0
677,1
678,1
679,1
680,1
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,1
696,0
697,1
698,1
699,0
700,1
701,0
702,0
703,0
704,1
705,0
706,0
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,1
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,1
726,1
727,0
728,1
729,0
730,1
731,0
732,1
733,0
734,1
735,1
736,1
737,0
738,0
739,1
740,1
741,0
742,1
743,1
744,1
745,1
746,0
747,1
748,0
749,1
750,1
751,0
752,0
753,1
754,0
755,1
756,1
757,0
758,0
759,1
760,0
761,1
762,1
763,0
764,0
765,0
766,1
767,0
768,0
769,1
770,0
771,0
772,1
773,0
774,1
775,0
776,0
777,0
778,1
779,0
780,1
781,1
782,0
783,0
784,0
785,1
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,0
797,0
798,0
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,1
807,1
808,0
809,1
810,0
811,0
812,1
813,0
814,1
815,1
816,1
817,0
818,0
819,0
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,1
829,1
830,0
831,0
832,1
833,0
834,0
835,1
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,0
844,1
845,1
846,0
847,1
848,0
849,1
850,0
851,1
852,1
853,1
854,0
855,1
856,0
857,1
858,1
859,0
860,0
861,1
862,0
863,0
864,1
865,0
866,0
867,0
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,0
877,0
878,0
879,1
880,1
881,1
882,0
883,1
884,1
885,1
886,0
887,1
888,0
889,1
890,1
891,0
892,1
893,0
894,0
895,1
896,0
897,1
898,0
899,1
900,1
901,0
902,0
903,1
904,0
905,1
906,1
907,0
908,1
909,1
910,1
911,1
912,1
913,0
914,1
915,1
916,1
917,0
918,1
919,1
920,0
921,1
922,0
923,1
924,1
925,1
926,0
927,1
928,1
929,1
930,0
931,0
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,0
942,0
943,0
944,1
945,0
946,1
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,1
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,1
973,0
974,0
975,1
976,0
977,1
978,1
979,1
980,0
981,0
982,1
983,0
984,1
985,1
986,0
987,0
988,1
989,1
990,0
991,0
992,0
993,1
994,0
995,1
996,0
997,0
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,0
1010,1
1011,1
1012,0
1013,1
1014,1
1015,1
1016,1
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,1
1028,0
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,0
1041,1
1042,0
1043,1
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,1
1060,0
